1.0.1.0 1.0.1.255 1
1.0.2.0 1.0.3.255 1
1.0.8.0 1.0.15.255 1
1.0.32.0 1.0.63.255 1
1.1.0.0 1.1.0.255 1
1.1.2.0 1.1.3.255 1
1.1.4.0 1.1.7.255 1
1.1.8.0 1.1.15.255 1
1.1.16.0 1.1.31.255 1
1.1.32.0 1.1.63.255 1
1.2.0.0 1.2.1.255 1
1.2.2.0 1.2.2.255 6
1.2.4.0 1.2.4.255 6
1.2.5.0 1.2.5.255 1
1.2.6.0 1.2.7.255 1
1.2.8.0 1.2.8.255 6
1.2.9.0 1.2.9.255 1
1.2.10.0 1.2.11.255 1
1.2.12.0 1.2.15.255 1
1.2.16.0 1.2.31.255 1
1.2.32.0 1.2.63.255 1
1.2.64.0 1.2.127.255 1
1.3.0.0 1.3.255.255 1
1.4.1.0 1.4.1.255 1
1.4.2.0 1.4.3.255 1
1.4.4.0 1.4.4.255 6
1.4.5.0 1.4.5.255 1
1.4.6.0 1.4.7.255 1
1.4.8.0 1.4.15.255 1
1.4.16.0 1.4.31.255 1
1.4.32.0 1.4.63.255 1
1.4.64.0 1.4.127.255 1
1.8.0.0 1.8.255.255 6
1.10.0.0 1.10.7.255 1
1.10.8.0 1.10.9.255 1
1.10.11.0 1.10.11.255 1
1.10.12.0 1.10.15.255 1
1.10.16.0 1.10.31.255 1
1.10.32.0 1.10.63.255 1
1.10.64.0 1.10.127.255 1
1.12.0.0 1.15.255.255 6
1.24.0.0 1.31.255.255 2
1.45.0.0 1.45.255.255 6
1.48.0.0 1.49.255.255 1
1.50.0.0 1.50.255.255 1
1.51.0.0 1.51.255.255 5
1.56.0.0 1.63.255.255 2
1.68.0.0 1.71.255.255 1
1.80.0.0 1.87.255.255 1
1.88.0.0 1.91.255.255 6
1.92.0.0 1.93.255.255 6
1.94.0.0 1.95.255.255 6
1.116.0.0 1.119.255.255 6
1.180.0.0 1.183.255.255 1
1.184.0.0 1.185.255.255 5
1.188.0.0 1.191.255.255 2
